# Successive nominal-frame samples of the first type-0x1a record at 0x8808c000.
sample,current_token,timer,script_pointer
0,00,00000000,8805e6f2
1,04,00000000,8805e6f8
2,05,00000100,8805e6fa
3,05,00000000,8805e6fa
4,06,00000100,8805e6fc
5,06,00000000,8805e6fc
6,07,00000100,8805e6fe
7,07,00000000,8805e6fe
8,08,00000100,8805e700
9,08,00000000,8805e700
10,09,00000100,8805e702
11,09,00000000,8805e702
12,0a,00000100,8805e704
13,0a,00000000,8805e704
14,0b,00000100,8805e706
15,0b,00000000,8805e706
16,0c,00000100,8805e708
17,0c,00000000,8805e708
18,0d,00000100,8805e70a
19,0d,00000000,8805e70a
20,0e,00000100,8805e70c
21,0e,00000000,8805e70c
22,0f,00000100,8805e70e
23,0f,00000000,8805e70e
24,10,00000200,8805e710
25,10,00000100,8805e710
26,10,00000000,8805e710
27,11,00000200,8805e712
28,11,00000100,8805e712
29,11,00000000,8805e712
30,12,00000200,8805e714
