# Consecutive secondary-pass samples for the first full-size type-0x1a record in the controlled Jago-versus-Fulgore replay. Coordinates are normalized from the alternating 320x240 framebuffer banks.
tick,object,token,frame_pointer,framebuffer_bank,destination_x,destination_y,x_direction,y_direction,x_scale,x_remainder,y_accumulator,y_scale
0,8808c000,0b,88097ea4,0,266,123,1,-1,104d,0d44,25e8,17f1
1,8808c000,0b,88097ea4,1,267,122,1,-1,104d,0fc4,21fa,1873
2,8808c000,0c,88097fec,0,267,124,1,-1,104d,026a,1d42,18f5
3,8808c000,0c,88097fec,1,268,123,1,-1,104d,065a,1a97,1978
4,8808c000,0d,880981a0,0,269,124,1,-1,104d,0ada,1f1b,19fa
5,8808c000,0d,880981a0,1,270,123,1,-1,104d,0fca,1dfd,1a7d
6,8808c000,0e,88098394,0,270,127,1,-1,104d,0490,1cfc,1aff
7,8808c000,0e,88098394,1,271,126,1,-1,104d,0a60,1c62,1b81
8,8808c000,0f,880985b8,0,274,127,1,-1,104d,00bd,20a7,1c04
9,8808c000,0f,880985b8,1,275,126,1,-1,104d,072d,213b,1c86
10,8808c000,10,88098808,0,273,129,1,-1,104d,0cd6,289f,1d09
11,8808c000,10,88098808,1,275,128,1,-1,104d,03b6,29df,1d8b
12,8808c000,10,88098808,0,276,127,1,-1,104d,0ac6,2bef,1e0d
13,8808c000,11,88098ab4,1,277,131,1,-1,104d,01b9,230f,1e90
14,8808c000,11,88098ab4,0,278,130,1,-1,104d,0919,2529,1f12
15,8808c000,11,88098ab4,1,280,129,1,-1,104d,0099,27e0,1f95
16,8808c000,12,88098da0,0,282,122,1,-1,104d,0896,2baf,2017
17,8808c000,12,88098da0,1,284,120,1,-1,104e,0034,213f,209c
18,8808c000,12,88098da0,0,285,119,1,-1,104e,07f4,27af,211e
19,8808c000,13,880990e0,1,288,122,1,-1,104e,0032,2b9f,21a0
20,8808c000,13,880990e0,0,289,120,1,-1,104e,0822,2269,2223
21,8808c000,13,880990e0,1,291,119,1,-1,104e,0032,29f5,22a5
22,8808c000,13,880990e0,0,292,118,1,-1,104e,0832,321f,2328
23,8808c000,14,880993dc,1,294,98,1,-1,104e,0052,285b,23aa
24,8808c000,14,880993dc,0,295,96,1,-1,104e,0872,25ed,242d
25,8808c000,14,880993dc,1,297,95,1,-1,104e,00a2,3439,24af
26,8808c000,14,880993dc,0,298,93,1,-1,104e,08e2,3325,2531
