# Native structural decode of frames observed at the 0x880107a8 renderer entry during the controlled Endokuken replay. Addresses are KI v1.5d virtual addresses.
token,frame_pointer,origin_x,origin_y,width,height,packed_size,end_address,next_observed_frame
0b,88097ea4,12,8,25,22,00000148,88097fec,88097fec
0c,88097fec,14,10,27,27,000001b1,8809819d,880981a0
0d,880981a0,14,11,28,30,000001f1,88098391,88098394
0e,88098394,16,14,31,31,00000221,880985b5,880985b8
0f,880985b8,15,15,33,34,00000250,88098808,88098808
10,88098808,18,17,37,38,000002aa,88098ab2,88098ab4
11,88098ab4,19,20,40,41,000002ea,88098d9e,88098da0
12,88098da0,18,17,41,40,0000033d,880990dd,880990e0
13,880990e0,17,19,38,44,000002f9,880993d9,
14,880993dc,17,11,34,34,0000020e,880995ea,
